ansi,FIPS_Code,statename,elections,hayspecial,pollwinrep,pollwindem,pollpercdem,pollpercrep,spreadRCP,senator_party,senator_terms,senator_name,senrunning_esp,senrunning_ing,sen_hisp,senfoto,senfoto_info,competido_lean,incumbent_candidate,incumbent_party,incumbent_hisp,incumbent_funds,incumbent_foto,incumbent_foto_info,committee1_esp,committee2_esp,committee3_esp,committee4_esp,committee5_esp,committee6_esp,committee1_ing,committee2_ing,committee3_ing,committee4_ing,committee5_ing,committee6_ing,candidato1,candidato1_party,candidato1_job_esp,candidato1_job_ing,candidato1_hispano,candidato1_funds,candidato1_foto,candidato1_foto_info,candidato2,candidato2_party,candidato2_job_ing,candidato2_job_esp,candidato2_hispano,candidato2_funds,candidato2_foto,candidato2_foto_info,candidato3,candidato3_party,candidato3_job_ing,candidato3_job_esp,candidato3_hispano,candidato3_funds,candidato3_foto,candidato3_foto_info,winprediccion,fecha_primaria,senator_nameSE,senator_partySE,senator_termsSE,senrunning_esp_SE,senrunning_ing_SE,pollwinrep_SE,pollwindem_SE,pollpercdem_SE,porllpercrep_SE,spreadRCP_SE,incumbent_candidateSE,incumbent_partySE,incumbent_hispSE,commitee1_ing_SE,commitee2_ing_SE,commitee3_ing_SE,commitee1_esp_SE,commitee2_esp_SE,commitee3_esp_SE,incumbent_fundsSE,incumbent_fotoSE,incumbent_foto_infoSE,candidato1_SE,candidato1_party_SE,candidato1_hispSE,candidato1_job_esp_SE,candidato1_job_ing_SE,candidato1_fundsSE,candidato1_fotoSE,candidato1_foto_infoSE,candidato2_SE,candidato2_party_SE,candidato2_hispSE,candidato2_job_esp_SE,candidato2_job_ing_SE,candidato2_fundsSE,candidato2_fotoSE,candidato2_foto_infoSE,hisptot,hispvot,hispvot_p,hisp_p,link_ic,link_c1,link_c2,link_c3,link_ic_SE,link_c1_SE,link_c2_SE
LA,22,Louisiana,2,0,1,0,45.8,46.8,1,D,3,Mary Landrieu,Elección pendiente,Election pending,0,http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Mary_Landrieu_113th_Congress.jpg/490px-Mary_Landrieu_113th_Congress.jpg,CC. US Congress  2013,1,,,,,http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Mary_Landrieu_113th_Congress.jpg/490px-Mary_Landrieu_113th_Congress.jpg,CC. US Congress  2013,Comité de Gastos,Comité de Energía y Recursos Naturales,Comité de Asuntos del Gobierno,Comité de Pequeños Negocios y Espíritu Empresarial,,,Committee on Appropriations,Committee on Energy and Natural Resources,Committee on Homeland Security and Governmental Affairs,Committee on Small Business and Entrepreneurship,,,Elección pendiente,,,,,,,,Elección pendiente,,,,,,,,,,,,,,,,R,04/11/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207636,92015,2.710000038,4.510000229,,,,,,,
RI,44,Rhode Island,1,0,0,1,52,32,20,D,3,Jack Reed,Candidato,Running,0,http://upload.wikimedia.org/wikipedia/commons/b/b6/Jack_Reed_113th_Congress.jpg,CC. US Congress  2013,0,Jack Reed,D,0,"$2,833,802.97",http://upload.wikimedia.org/wikipedia/commons/b/b6/Jack_Reed_113th_Congress.jpg,CC. US Congress  2013,Comité de Servicios Armados,Comité de Gastos,Comité de Bancos  Vivienda y Asuntos Urbanos,,,,Committee on Armed Services,Committee on Appropriations,Committee on Banking  Housing and Urban Affairs,,,,Mark Zaccaria,R,Consultor,Director of Consulting Firm,0,,Silueta,,,,,,,,,,,,,,,,,,D,09/09/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138550,58788,7.630000114,13.18999958,http://www.reed.senate.gov/,http://www.zaccariaforsenate.com/#!meet-mark/ctvq,,,,,
DE,10,Delaware,1,0,0,1,48,35,13,D,1,Chris Coons,Candidato,Running,0,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Chris_Coons_113th_Congress.jpg/490px-Chris_Coons_113th_Congress.jpg,CC. US Congress  2013,0,Chris Coons,D,0,"$4,173,447.00",http://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Chris_Coons_113th_Congress.jpg/490px-Chris_Coons_113th_Congress.jpg,CC. US Congress  2013,Comité de Gastos,Comité de Presupuesto,Comité de Relaciones Internacionales,Comité Judicial,,,Committee on Appropriations,Budget Committee,Committee on Foreign Relations,Judiciary Committee,,,Kevin Wade,R,Fundador y Presidente de Philadelphia Control Systems  Inc. ,Founder and President of Philadelphia Control Systems  Inc.,0,"$23,204",http://upload.wikimedia.org/wikipedia/commons/2/25/Kevin_wade_us_senate.JPG,CC. Goodambitions  2014,Andrew Groff,Green Party,Businessman/teacher,Hombre de negocios/profesor,0,,Silueta,,,,,,,,,,D,09/09/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78813,32541,4.809999943,8.590000153,http://www.coons.senate.gov/,http://www.wadefordelaware.com/,http://www.andrewgroffforsenate.us/,,,,
MA,25,Massachusetts,1,0,0,1,61,34,27,D,5,Ed Markey,Candidato,Running,0,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Ed_Markey_113th_Congress.jpg/490px-Ed_Markey_113th_Congress.jpg,CC. US Congress  2013,0,Ed Markey,D,0,"$17,596,729.00",http://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Ed_Markey_113th_Congress.jpg/490px-Ed_Markey_113th_Congress.jpg,CC. US Congress  2013,Comité de Comercio  Ciencia y Transporte,Comité de Medioambiente y Obras Públicas,Comité de Relaciones Internacionales,Comité de Pequeños Negocios y Espíritu Empresarial,,,Committee on Commerce  Science  and Transportation,Committee on Environment and Public Works,Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,,,Brian Herr,R,Ejecutivo de Cuentas en WESCO Distribution,Account Executive at WESCO Distribution,0,"$56,451.00",,,,,,,,,,,,,,,,,,,D,09/09/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673885,337677,7.03000021,10.14000034,http://www.markey.senate.gov/,https://www.brianherr.com/,,,,,
MN,27,Minnesota,1,0,0,1,50,41.7,8.3,D,1,Al Franken,Candidato,Running,0,http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Al_Franken_Official_Senate_Portrait.jpg/640px-Al_Franken_Official_Senate_Portrait.jpg,CC. Jeff McEvoy  2009,0,Al Franken,D,0,"$15,126,268.00",http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Al_Franken_Official_Senate_Portrait.jpg/120px-Al_Franken_Official_Senate_Portrait.jpg,CC. US Congress  2013,Comité de Energía y Recursos Naturales,Comité de Salud  Educación  Trabajo y Pensiones,Comité de Asuntos Indígenas,Comité Judicial,,,Committee on Energy and Natural Resources,Committee on Health  Education  Labor  and Pensions ,Committee on Indian Affairs,Judiciary Committee,,,Mike McFadden,R,Co-director de Lazard Middle Market,Co-CEO of Lazard Middle Market,0,"$3,405,214.00",,,Steve Carlson,Independence Party of America,Candidate for the U.S. House of Representatives (MN04),Candidato a la Casa de Representates (MN04),0,,Silueta,,Heather Johnson,Libertarian,University Student,Estudiante de Universidad,0,,,,D,12/08/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264025,90508,2.309999943,4.909999847,https://www.franken.senate.gov/,https://www.mikemcfadden.com/,http://www.stevecarlsonforcongress2010.com/,,,,
NH,33,New Hampshire,1,0,0,1,47.7,42.3,5.4,D,1,Jeanne Shaheen,Candidato,Running,0,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Jeanne_Shaheen%2C_official_Senate_portrait_cropped.jpg/468px-Jeanne_Shaheen%2C_official_Senate_portrait_cropped.jpg,CC. US Senate  2009,0,Jeanne Shaheen,D,0,"$9,939,306.00",http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Jeanne_Shaheen%2C_official_Senate_portrait_cropped.jpg/468px-Jeanne_Shaheen%2C_official_Senate_portrait_cropped.jpg,CC. US Senate  2009,Comité de Gastos,Comité de Servicios Armados,Comité de Relaciones Internacionales,Comité de Pequeños Negocios y Espíritu Empresarial,Comité de Seguridad y Cooperación en Europa,,Committee on Appropriations,Committee on Armed Services,Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,Commission on Security and Cooperation in Europe,,Scott Brown,R,Fox News commentator,Comentarista en Fox New,0,"$3,686,708.00",http://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Sbrownofficial.jpg/1024px-Sbrownofficial.jpg,CC. US Congress  2010,Gardner Goldsmith,Libertarian,Talk show host,Conductor de televisión,0,,Silueta,,,,,,,,,,D,09/09/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40138,19876,1.960000038,3.039999962,http://www.shaheen.senate.gov/,https://www.scottbrown.com/,http://gard4senate.com/,,,,
AL,1,Alabama,1,0,1,0,,,0,R,3,Jeff Sessions,Candidato,Running,0,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Jeff_Sessions_official_portrait.jpg/450px-Jeff_Sessions_official_portrait.jpg,CC. US Congress  2005,0,Jeff Sessions,R,0,"$1,115,688.00",http://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Jeff_Sessions_official_portrait.jpg/450px-Jeff_Sessions_official_portrait.jpg,CC. US Congress  2005,Comité de Presupuesto,Comité Judicial,Comité de Servicios Armados,Comité de Medioambiente y Obras Públicas,,,Budget Committee, Judiciary Committee,Committee on Armed Services,Committee on Environment and Public Works,,,No hay candidato,D,,,,,,,,,,,,,,,,,,,,,,,R,03/06/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185441,56789,1.580000043,3.849999905,http://www.sessions.senate.gov/public/,,,,,,
AK,2,Alaska,1,0,0,1,46.3,41.7,4.6,D,1,Mark Begich,Candidato,Running,0,http://upload.wikimedia.org/wikipedia/commons/8/80/Mark_Begich_113th_Congress.jpg,CC. US Congress  2013,1,Mark Begich,D,0,"$6,340,422.00",http://upload.wikimedia.org/wikipedia/commons/8/80/Mark_Begich_113th_Congress.jpg,CC. US Congress  2013,Comité de Gastos,Comité de Comercio  Ciencia y Transporte,Comité de Asuntos del Gobierno,Comité de Asuntos Indígenas,Comité de Asuntos de Veteranos,,Committee on Appropriations,Committee on Commerce  Science and Transportation,Committee on Homeland Security and Governmental Affairs,Committee on Indian Affairs,Committee on Veterans' Affairs,,Dan Sullivan ,R,Comisionado del Departamento de Recursos Naturales de Alaska,Commissioner of the Alaska Department of Natural Resources,0,"$4,068,357.00",http://upload.wikimedia.org/wikipedia/commons/2/28/DanielSSullivan.jpg,CC. US State Department Photo  2014,,,,,,,,,,,,,,,,,R,19/08/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43686,25187,4.809999943,5.96999979,http://www.begich.senate.gov/public/,http://www.sullivan2014.com/,,,,,
AR,5,Arkansas,1,0,1,0,43.3,45,1.7,D,2,Mark Pryor,Candidato,Running,0,http://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Mark_Pryor%2C_head_and_shoulders_photo_portrait_with_flag%2C_2006.jpg/640px-Mark_Pryor%2C_head_and_shoulders_photo_portrait_with_flag%2C_2006.jpg,CC. US Congress  2006,1,Mark Pryor,D,0,"$8,046,245.00",http://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Mark_Pryor%2C_head_and_shoulders_photo_portrait_with_flag%2C_2006.jpg/640px-Mark_Pryor%2C_head_and_shoulders_photo_portrait_with_flag%2C_2006.jpg,CC. US Congress  2006,Comité de Gastos,Comité de Comercio  Ciencia y Transporte,Comité de Asuntos del Gobierno,Comité de Reglas y Administración,Comité de Pequeños Negocios y Espíritu Empresarial,Comité Selecto sobre Ética,Committee on Appropriations,Committee on Commerce  Science and Transportation,Committee on Homeland Security and Governmental Affairs,Committee on Rules and Administration,Committee on Small Business and Entrepreneurship,Select Committee on Ethics,Tom Cotton,R,Miembro de la Casa de Representantes de EUA (AK04),Member of the U.S House of Representatives (AK04),,"$7,097,224.06",http://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Tom_Cotton_113th_Congress.jpg/490px-Tom_Cotton_113th_Congress.jpg,CC. US Congress  2013,,,,,,,,,,,,,,,,,R,20/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197865,63882,2.960000038,6.710000038,http://www.pryor.senate.gov/,http://cotton.house.gov/,,,,,
CO,8,Colorado,1,0,0,1,45.7,44.7,1,D,1,Mark Udall,Candidato,Running,0,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/MarkUdall-Senate_Portrait.jpg/640px-MarkUdall-Senate_Portrait.jpg,CC. US Senate  2009,1,Mark Udall,D,0,"$10,420,571.00",http://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/MarkUdall-Senate_Portrait.jpg/640px-MarkUdall-Senate_Portrait.jpg,CC. US Senate  2009,Comité de Servicios Armados,Comité de Energía y Recursos Naturales,,,,,Committee on Armed Services,Committee on Energy and Natural Resources,,,,,Cory Gardner,R,Miembro de la Casa de Representantes de EUA (CO04),Member of the U.S House of Representatives (CO04),,"$4,965,699.30",http://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Cory_Gardner_113th_Congress.jpg/490px-Cory_Gardner_113th_Congress.jpg,CC. US Congress  2013,,,,,,,,,,,,,,,,,D,24/06/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088742,525710,14.27000046,20.98999977,http://www.markudall.senate.gov/,http://gardner.house.gov/,,,,,
